ID,Images,RecordDate,Material,Origin,MaterialCondition,Dimension,GeometryClass,TurningOrientation,DryingOrientation,Failure Class,State,Intervention,Availability,AcquisitionStripe
MR-26-17,Recorded%20Objects/MR-26-17.webp,"February 9, 2026 10:35 PM",Plum,Surrey,"Bark pocket, Branch inclusion, Burl, Insect activity"," Ø24 × H35 cm",Plain wall,Mixed,Vertical,C - Rupture,Active,Fiber bridging,Available,
MR-26-18,"Recorded%20Objects/MR-26-18.webp, Recorded%20Objects/MR-26-18_A.webp","February 9, 2026 10:35 PM",Oak,Essex,Pitch crack," Ø29 × H41 cm",Plain wall,Side grain,Lateral,B- Fracture,Active,,Available,
MR -24 -08,"Recorded%20Objects/MR-24-08.webp, Recorded%20Objects/MR-24-08_A.webp","February 16, 2026 8:25 PM",Oak,Berkshire,Mould,Ø11 × H15cm,,,,A- Deformation,Resolved,Ebonization,Available,
MR-24-13,Recorded%20Objects/MR-24-13.webp,"February 16, 2026 8:03 PM",Oak,Essex,,Ø22 × H28 cm,,,,A- Deformation,Resolved,,Available,
MR-24-14,Recorded%20Objects/MR-24-14.webp,"February 16, 2026 8:04 PM",Oak,Essex,,Ø22 × H25 cm,,,,A- Deformation,Resolved,,Available,
MR-24-15,Recorded%20Objects/MR-24-15.webp,"February 16, 2026 8:04 PM",Oak,Essex,,Ø22 × H24 cm,,,,A- Deformation,Resolved,,Available,
MR-24-18,Recorded%20Objects/MR-24-18.webp,"February 16, 2026 8:14 PM",Oak,Tooting,,Ø12 × H21cm,,,,C - Rupture,Resolved,,Archive,
MR-24-19,Recorded%20Objects/MR-24-19.webp,"February 16, 2026 8:14 PM",Oak,Tooting,,Ø13 × H30 cm,,,,C - Rupture,Resolved,,Archive,
MR-24-11,Recorded%20Objects/MR-24-11.webp,"February 16, 2026 8:15 PM",Oak,Tooting,"Canker, Fungal decay",Ø22 × H28 cm,,,,C - Rupture,Resolved,Plasticisation bath,Available,
MR-24-10,Recorded%20Objects/MR-24-10.webp,"February 16, 2026 8:15 PM",Oak,Tooting,"Fungal decay, Mould",Ø16 × H18 cm,,,,C - Rupture,Resolved,Plasticisation bath,Available,
