ID,Images,RecordDate,Material,Origin,MaterialCondition,Dimension,GeometryClass,TurningOrientation,DryingOrientation,Failure Class,State,Intervention,Availability,AcquisitionStripe
MR-25-02,"Recorded%20Objects/MR-25-02.webp, Recorded%20Objects/MR-25-02_B.webp","February 16, 2026 11:15 PM",Oak,Essex,"Mould, Pitch crack"," Ø23 × H29 cm",Rebate rim,Side grain,Lateral,B- Fracture,Stable,"Epoxy infill, Oiling, Scorching, Surface coating (pigmented), Wax retention",Available,https://buy.stripe.com/cNi00lasH4LFcx45vd9ws00
MR-25-11,Recorded%20Objects/MR-25-11.webp,"February 3, 2026 12:06 AM",Oak,Essex,Mould,Ø13 × H23 cm,Plain wall,End grain,,A- Deformation,Resolved,Wax retention,Archive,
MR-26-08,"Recorded%20Objects/MR-26-08_A.webp, Recorded%20Objects/MR-26-08_B.webp, Recorded%20Objects/MR-26-08_C.webp, Recorded%20Objects/MR-26-08_D.webp, Recorded%20Objects/MR-26-08_E.webp","March 16, 2026 12:22 AM",Oak,Galloway,"Bark pocket, Branch inclusion, Crotch, Insect activity, Surface protuberances"," Ø24 × H29 cm",Plain wall,Mixed,Vertical,A- Deformation,Active,None,Reserved,
MR-26-03,Recorded%20Objects/MR-26-03.webp,"February 3, 2026 12:07 AM",Ash,Surrey,Mould,,Grooved,Side grain,Lateral,A- Deformation,Stable,Soaking,Reserved,
MR-26-13,"Recorded%20Objects/MR-26-13_A.webp, Recorded%20Objects/MR-26-13_B.webp, Recorded%20Objects/MR-26-13_C.webp","March 16, 2026 11:40 AM",Oak,Essex,Mould,Ø48 × H29 cm,Grooved,End grain,Lateral,B- Fracture,Active,Soaking,Available,
MR-26-05,Recorded%20Objects/MR-26-05.webp,"March 9, 2026 7:54 PM",Plum,Surrey,Fungal decay,Ø13 × H27cm,Stepped wall,Side grain,Vertical,C - Rupture,Resolved,"Oiling, Scorching",Available,
MR-26-06,Recorded%20Objects/MR-26-06.webp,"March 9, 2026 5:44 PM",Plum,Surrey,"Branch inclusion, Insect activity",Ø15 × H23cm,Stepped wall,Mixed,Vertical,B- Fracture,Resolved,"Oiling, Scorching",Available,
MR-26-07,"Recorded%20Objects/MR-26-07.webp, Recorded%20Objects/MR-26-07_A.webp, Recorded%20Objects/MR-26-07_B.webp","February 9, 2026 4:47 PM",Oak,Surrey,Bark pocket," Ø21 × H35 cm",Plain wall,Mixed,Lateral,A- Deformation,Active,Wax retention,Available,
MR-26-12,"Recorded%20Objects/MR-26-12.webp, Recorded%20Objects/MR-26-12_B.webp","February 3, 2026 12:09 AM",Ash,Surrey,Mould,,Grooved,Mixed,Lateral,A- Deformation,Stable,"None, Soaking",Available,
MR-25-08,"Recorded%20Objects/MR-25-08_A.webp, Recorded%20Objects/MR-25-08_B.webp, Recorded%20Objects/MR-25-08_C.webp, Recorded%20Objects/MR-25-08_D.webp","March 16, 2026 2:50 PM",Oak,Essex,," Ø23 × H29 cm",Rebate rim,Side grain,Lateral,C - Rupture,Stable,"Butterfly join, Scorching",Available,https://buy.stripe.com/3cIaEZ58n0vpaoWe1J9ws07
