ID,Images,RecordDate,Material,Origin,MaterialCondition,Dimension,GeometryClass,TurningOrientation,DryingOrientation,Failure Class,State,Intervention,Availability,AcquisitionStripe
MR-25-01,"Recorded%20Objects/MR-25-01.webp, Recorded%20Objects/MR-25-01_B.webp","February 9, 2026 11:08 PM",Oak,Essex,,Ø26 × H38 cm,Rebate rim,Side grain,Lateral,C - Rupture,Stable,"Scorching, Sealing",Reserved,
MR-25-09,Recorded%20Objects/MR-25-09.webp,"February 9, 2026 11:09 PM",Oak,Essex,," Ø24 × H29 cm",Rebate rim,Side grain,Vertical,C - Rupture,Stable,"Butterfly join, Scorching",Archive,
MR-26-02,Recorded%20Objects/MR-26-02.webp,"February 3, 2026 12:08 AM",Oak,N/A,," Ø23 × H28 cm",Plain wall,Side grain,Lateral,C - Rupture,Resolved,"Scorching, Soaking",Reserved,
MR-26-04,Recorded%20Objects/MR-26-04.webp,"February 3, 2026 12:08 AM",Oak,N/A,," Ø25 × H22 cm",Plain wall,Side grain,Vertical,B- Fracture,Resolved,None,Reserved,
MR-25-06,"Recorded%20Objects/MR-25-06_A.webp, Recorded%20Objects/MR-25-06_B.webp, Recorded%20Objects/MR-25-06_C.webp, Recorded%20Objects/MR-25-06_D.webp","March 16, 2026 12:56 PM",Oak,Essex,," Ø23 × H29 cm",Rebate rim,Side grain,Lateral,B- Fracture,Stable,Scorching,Available,https://buy.stripe.com/dRm9AV44j2DxdB86zh9ws05
MR-25-05,"Recorded%20Objects/MR-25-05_A.webp, Recorded%20Objects/MR-25-05_B.webp, Recorded%20Objects/MR-25-05_C.webp, Recorded%20Objects/MR-25-05_D.webp","March 16, 2026 1:17 PM",Oak,Essex,," Ø23 × H32 cm",Rebate rim,Side grain,Lateral,B- Fracture,Stable,Scorching,Available,https://buy.stripe.com/28EeVf0S7dibcx45vd9ws06
MR-26-01,"Recorded%20Objects/MR-26-01_A.webp, Recorded%20Objects/MR-26-01_B.webp, Recorded%20Objects/MR-26-01_C.webp, Recorded%20Objects/MR-26-01_D.webp, Recorded%20Objects/MR-26-01_H2.webp, Recorded%20Objects/MR-26-01_H4.webp","March 16, 2026 10:37 AM",Oak,Essex,Pitch crack,Ø22 × H28 cm,Grooved,Side grain,Vertical,C - Rupture,Resolved,"Butterfly join, None",Available,https://buy.stripe.com/6oUdRb0S77XR0Om2j19ws02
MR-25-00,Recorded%20Objects/MR-25-00.webp,"February 16, 2026 7:14 PM",Oak,Essex,," Ø23 × H25 cm",Rebate rim,Side grain,,A- Deformation,Resolved,,Reserved,
MR-25-04,Recorded%20Objects/MR-25-04.webp,"February 16, 2026 7:13 PM",Oak,Essex,," Ø23 × H24 cm",Rebate rim,Side grain,Lateral,B- Fracture,Stable,"Epoxy infill, Scorching",Archive,
MR-25-03,Recorded%20Objects/MR-25-03.webp,"February 16, 2026 7:13 PM",Oak,Essex,," Ø23 × H24 cm",Rebate rim,Side grain,Vertical,B- Fracture,Stable,"Epoxy infill, Scorching",Reserved,
MR-25-10,"Recorded%20Objects/MR-25-10.webp, Recorded%20Objects/MR-25-10_B.webp","February 2, 2026 9:12 PM",Sycamore,London,,Ø18 × H33 cm,Plain wall,End grain,Vertical,B- Fracture,Stable,None,Archive,
MR-26-14,Recorded%20Objects/MR-26-14.webp,"February 16, 2026 7:11 PM",Oak,N/A,,,Plain wall,Side grain,Vertical,C - Rupture,Resolved,,Reserved,
MR-26-15,Recorded%20Objects/MR-26-15.webp,"February 16, 2026 7:11 PM",Oak,N/A,,,Plain wall,Side grain,Vertical,B- Fracture,Resolved,,Reserved,
MR-24-12,"Recorded%20Objects/MR-24-12_A.webp, Recorded%20Objects/MR-24-12_B.webp","March 16, 2026 10:57 AM",Sycamore,Tooting,"Canker, Fungal decay",Ø22 × H28 cm,Plain wall,,,C - Rupture,Resolved,Plasticisation bath,Available,https://buy.stripe.com/aFacN70S76TNbt0aPx9ws03
MR-24-16,Recorded%20Objects/MR-24-16.webp,"February 16, 2026 7:05 PM",Oak,Tooting,,Ø22 × H28 cm,Plain wall,,,B- Fracture,Resolved,"Butterfly join, Ebonization",Reserved,
MR-24-17,Recorded%20Objects/MR-24-17.webp,"February 16, 2026 7:05 PM",Oak,Tooting,,Ø22 × H28 cm,Plain wall,,,B- Fracture,Resolved,"Butterfly join, Ebonization",Reserved,
MR-26-17,"Recorded%20Objects/MR-26-17_A.webp, Recorded%20Objects/MR-26-17_B.webp, Recorded%20Objects/MR-26-17_C.webp, Recorded%20Objects/MR-26-17_D.webp, Recorded%20Objects/MR-26-17_E.webp, Recorded%20Objects/MR-26-17_H1.webp","March 16, 2026 12:21 PM",Plum,Surrey,"Bark pocket, Branch inclusion, Burl, Insect activity"," Ø24 × H35 cm",Plain wall,Mixed,Vertical,D- Collapse,Active,Fiber bridging,Enquiries,
MR-26-18,"Recorded%20Objects/MR-26-18.webp, Recorded%20Objects/MR-26-18_A.webp","February 9, 2026 9:35 PM",Oak,Essex,Pitch crack," Ø29 × H41 cm",Plain wall,Side grain,Lateral,B- Fracture,Active,,Available,
MR -24 -08,"Recorded%20Objects/MR-24-08.webp, Recorded%20Objects/MR-24-08_A.webp","February 16, 2026 7:25 PM",Oak,Berkshire,Mould,Ø11 × H15cm,,,,A- Deformation,Resolved,Ebonization,Available,
MR-24-13,Recorded%20Objects/MR-24-13.webp,"February 16, 2026 7:03 PM",Oak,Essex,,Ø22 × H28 cm,,,,A- Deformation,Resolved,,Available,
MR-24-14,Recorded%20Objects/MR-24-14.webp,"February 16, 2026 7:04 PM",Oak,Essex,,Ø22 × H25 cm,,,,A- Deformation,Resolved,,Available,
MR-24-15,Recorded%20Objects/MR-24-15.webp,"February 16, 2026 7:04 PM",Oak,Essex,,Ø22 × H24 cm,,,,A- Deformation,Resolved,,Available,
MR-24-18,Recorded%20Objects/MR-24-18.webp,"February 16, 2026 7:14 PM",Oak,Tooting,,Ø12 × H21cm,,,,C - Rupture,Resolved,,Archive,
MR-24-19,Recorded%20Objects/MR-24-19.webp,"February 16, 2026 7:14 PM",Oak,Tooting,,Ø13 × H30 cm,,,,C - Rupture,Resolved,,Archive,
MR-24-11,"Recorded%20Objects/MR-24-11_A.webp, Recorded%20Objects/MR-24-11_B.webp, Recorded%20Objects/MR-24-11_C.webp","March 16, 2026 11:07 AM",Oak,Tooting,"Canker, Fungal decay",Ø22 × H28 cm,,,,C - Rupture,Resolved,Plasticisation bath,Available,https://buy.stripe.com/cNi00l1Wb7XR9kS9Lt9ws04
MR-24-10,Recorded%20Objects/MR-24-10.webp,"February 16, 2026 7:15 PM",Oak,Tooting,"Fungal decay, Mould",Ø16 × H18 cm,,,,C - Rupture,Resolved,Plasticisation bath,Available,
MR-25-12,"Recorded%20Objects/MR-25-12.webp, Recorded%20Objects/MR-25-12_A.webp","February 22, 2026 9:20 PM",Oak,N/A,Crotch,Ø21 × H21 cm,,,,C - Rupture,Resolved,Scorching,Reserved,
MR-25-13,"Recorded%20Objects/MR-25-13.webp, Recorded%20Objects/MR-25-13_A.webp","February 22, 2026 9:28 PM",,,,,,,,B- Fracture,Resolved,,Reserved,
