ID,Images,State,Failure Class,Availability,RecordDate,TurningDate,StableDate,Material,MaterialCondition,Origin,TurningOrientation,DryingOrientation,GeometryClass,Dimension,Intervention,MC Initial (measured at base),MC Record (measured at base),AcquisitionStripe
MR-25-11,Recorded%20Objects/MR-25-11.webp,Resolved,A- Deformation,Archive,"February 3, 2026 12:06 AM",06/05/2025,04/08/2025,Oak,Mould,Essex,End grain,,Plain wall,Ø13 × H23 cm,Wax retention,,8,
MR-25-12,"Recorded%20Objects/MR-25-12.webp, Recorded%20Objects/MR-25-12_A.webp",Resolved,C - Rupture,Reserved,"February 22, 2026 9:20 PM",,,Oak,Crotch,N/A,,,,Ø21 × H21 cm,Scorching,,,
MR-25-13,"Recorded%20Objects/MR-25-13.webp, Recorded%20Objects/MR-25-13_A.webp",Resolved,B- Fracture,Reserved,"February 22, 2026 9:28 PM",,,,,,,,,,,,,
MR-26-01,"Recorded%20Objects/MR-26-01_A.webp, Recorded%20Objects/MR-26-01_B.webp, Recorded%20Objects/MR-26-01_C.webp, Recorded%20Objects/MR-26-01_D.webp, Recorded%20Objects/MR-26-01_H2.webp, Recorded%20Objects/MR-26-01_H4.webp",Resolved,C - Rupture,Available,"March 16, 2026 10:37 AM",15/12/2025,18/01/2026,Oak,Pitch crack,Essex,Side grain,Vertical,Grooved,Ø22 × H28 cm,"Butterfly join, None",21,9,https://buy.stripe.com/6oUdRb0S77XR0Om2j19ws02
MR-26-02,Recorded%20Objects/MR-26-02.webp,Resolved,C - Rupture,Reserved,"February 3, 2026 12:08 AM",,06/01/2026,Oak,,N/A,Side grain,Lateral,Plain wall," Ø23 × H28 cm","Scorching, Soaking",,,
MR-26-03,Recorded%20Objects/MR-26-03.webp,Stable,A- Deformation,Reserved,"February 3, 2026 12:07 AM",05/01/2026,23/01/2026,Ash,Mould,Surrey,Side grain,Lateral,Grooved,,Soaking,28,13,
MR-26-04,Recorded%20Objects/MR-26-04.webp,Resolved,B- Fracture,Reserved,"February 3, 2026 12:08 AM",09/12/2025,01/01/2026,Oak,,N/A,Side grain,Vertical,Plain wall," Ø25 × H22 cm",None,,,
MR-26-05,Recorded%20Objects/MR-26-05.webp,Resolved,C - Rupture,Available,"March 9, 2026 7:54 PM",11/01/2026,23/01/2026,Plum,Fungal decay,Surrey,Side grain,Vertical,Stepped wall,Ø13 × H27cm,"Oiling, Scorching",29,8,
MR-26-06,Recorded%20Objects/MR-26-06.webp,Resolved,B- Fracture,Available,"March 9, 2026 5:44 PM",23/01/2026,,Plum,"Branch inclusion, Insect activity",Surrey,Mixed,Vertical,Stepped wall,Ø15 × H23cm,"Oiling, Scorching",29,7,
MR-26-07,"Recorded%20Objects/MR-26-07_A.webp, Recorded%20Objects/MR-26-07_B.webp, Recorded%20Objects/MR-26-07_C.webp, Recorded%20Objects/MR-26-07_D.webp, Recorded%20Objects/MR-26-07_E.webp, Recorded%20Objects/MR-26-07_F.webp, Recorded%20Objects/MR-26-07_G.webp",Active,A- Deformation,Available,"March 20, 2026 6:59 PM",27/01/2026,,Oak,Bark pocket,Surrey,Mixed,Lateral,Plain wall," Ø21 × H35 cm",Wax retention,26,25,
MR-26-08,"Recorded%20Objects/MR-26-08_A.webp, Recorded%20Objects/MR-26-08_B.webp, Recorded%20Objects/MR-26-08_C.webp, Recorded%20Objects/MR-26-08_D.webp, Recorded%20Objects/MR-26-08_E.webp",Active,A- Deformation,Reserved,"March 16, 2026 12:22 AM",23/01/2026,,Oak,"Bark pocket, Branch inclusion, Crotch, Insect activity, Surface protuberances",Galloway,Mixed,Vertical,Plain wall," Ø24 × H29 cm",None,28,12,
MR-26-12,"Recorded%20Objects/MR-26-12.webp, Recorded%20Objects/MR-26-12_B.webp",Stable,A- Deformation,Available,"February 3, 2026 12:09 AM",08/01/2026,28/01/2026,Ash,Mould,Surrey,Mixed,Lateral,Grooved,,"None, Soaking",28,12,
MR-26-13,"Recorded%20Objects/MR-26-13_A.webp, Recorded%20Objects/MR-26-13_B.webp, Recorded%20Objects/MR-26-13_C.webp",Active,B- Fracture,Available,"March 16, 2026 11:40 AM",09/01/2026,,Oak,Mould,Essex,End grain,Lateral,Grooved,Ø48 × H29 cm,Soaking,30,16,
MR-26-14,Recorded%20Objects/MR-26-14.webp,Resolved,C - Rupture,Reserved,"February 16, 2026 7:11 PM",07/08/2025,,Oak,,N/A,Side grain,Vertical,Plain wall,,,,,
MR-26-15,Recorded%20Objects/MR-26-15.webp,Resolved,B- Fracture,Reserved,"February 16, 2026 7:11 PM",09/08/2025,,Oak,,N/A,Side grain,Vertical,Plain wall,,,,,
MR-26-17,"Recorded%20Objects/MR-26-17_A.webp, Recorded%20Objects/MR-26-17_B..webp, Recorded%20Objects/MR-26-17_C..webp, Recorded%20Objects/MR-26-17_D.webp, Recorded%20Objects/MR-26-17_E.webp, Recorded%20Objects/MR-26-17_F.webp, Recorded%20Objects/MR-26-17_G.webp",Active,D- Collapse,Enquiries,"March 20, 2026 7:06 PM",01/02/2026,,Plum,"Bark pocket, Branch inclusion, Burl, Insect activity",Surrey,Mixed,Vertical,Plain wall," Ø24 × H35 cm",Fiber bridging,34,11,
MR-26-18,"Recorded%20Objects/MR-26-18_A.webp, Recorded%20Objects/MR-26-18_B.webp, Recorded%20Objects/MR-26-18_C.webp, Recorded%20Objects/MR-26-18_D.webp, Recorded%20Objects/MR-26-18_E.webp, Recorded%20Objects/MR-26-18_G.webp",Active,B- Fracture,Enquiries,"March 20, 2026 12:35 AM",09/02/2026,,Oak,Pitch crack,Essex,Side grain,Lateral,Grooved," Ø29 × H41 cm",,31,16,
MR-26-19,"Recorded%20Objects/MR-26-19_A.webp, Recorded%20Objects/MR-26-19_B.webp, Recorded%20Objects/MR-26-19_C.webp, Recorded%20Objects/MR-26-19_D.webp",Active,B- Fracture,Enquiries,"March 20, 2026 12:33 AM",20/02/2026,,Ash,Crotch,Kent,Mixed,Lateral,Plain wall," Ø24 × H40 cm",,29,19,
MR-26-20,"Recorded%20Objects/MR-26-20_A.webp, Recorded%20Objects/MR-26-20_B.webp, Recorded%20Objects/MR-26-20_C.webp, Recorded%20Objects/MR-26-20_D.webp",Active,C - Rupture,Enquiries,"March 19, 2026 5:19 PM",06/03/2026,,Ash,Crotch,Kent,Mixed,Lateral,Plain wall," Ø21 × H48 cm",,29,23,
